441.5,1.933,1.79E+02
442.5,1.982,1.81E+02
443.5,1.911,1.83E+02
444.5,1.975,1.85E+02
445.5,1.823,1.87E+02
446.5,1.893,1.89E+02
447.5,2.079,1.91E+02
448.5,1.975,1.93E+02
449.5,2.029,1.95E+02
450.5,2.146,1.97E+02
451.5,2.111,1.99E+02
452.5,1.943,2.01E+02
453.5,1.972,2.03E+02
454.5,1.981,2.05E+02
455.5,2.036,2.07E+02
456.5,2.079,2.09E+02
457.5,2.102,2.11E+02
458.5,1.973,2.13E+02
459.5,2.011,2.15E+02
460.5,2.042,2.17E+02
461.5,2.057,2.19E+02
462.5,2.106,2.21E+02
463.5,2.042,2.23E+02
464.5,1.978,2.25E+02
465.5,2.044,2.27E+02
466.5,1.923,2.29E+02
467.5,2.017,2.31E+02
468.5,1.996,2.33E+02
469.5,1.992,2.35E+02
470.5,1.879,2.37E+02
471.5,2.02,2.39E+02
472.5,2.043,2.41E+02
473.5,1.993,2.43E+02
474.5,2.053,2.45E+02
475.5,2.018,2.47E+02
476.5,1.958,2.49E+02
477.5,2.077,2.51E+02
478.5,2.011,2.53E+02
479.5,2.078,2.55E+02
480.5,2.037,2.57E+02
481.5,2.092,2.60E+02
482.5,2.025,2.62E+02
483.5,2.021,2.64E+02
484.5,1.971,2.66E+02
485.5,1.832,2.67E+02
486.5,1.627,2.69E+02
487.5,1.832,2.71E+02
488.5,1.916,2.73E+02
489.5,1.962,2.75E+02
490.5,2.009,2.77E+02
491.5,1.898,2.79E+02
492.5,1.898,2.81E+02
493.5,1.89,2.82E+02
494.5,2.06,2.85E+02
495.5,1.928,2.86E+02
496.5,2.019,2.88E+02
497.5,2.02,2.90E+02
498.5,1.868,2.92E+02
499.5,1.972,2.94E+02
500.5,1.859,2.96E+02
501.5,1.814,2.98E+02
502.5,1.896,3.00E+02
503.5,1.936,3.02E+02
504.5,1.871,3.04E+02
505.5,1.995,3.06E+02
506.5,1.963,3.08E+02
507.5,1.908,3.10E+02
508.5,1.921,3.11E+02
509.5,1.918,3.13E+02
510.5,1.949,3.15E+02
511.5,1.999,3.17E+02
512.5,1.869,3.19E+02
513.5,1.863,3.21E+02
514.5,1.876,3.23E+02
515.5,1.902,3.25E+02
516.5,1.671,3.27E+02
517.5,1.728,3.28E+02
518.5,1.656,3.30E+02
519.5,1.83,3.32E+02
520.5,1.833,3.34E+02
521.5,1.908,3.35E+02
522.5,1.825,3.37E+02
523.5,1.896,3.39E+02
524.5,1.96,3.41E+02
525.5,1.932,3.43E+02
526.5,1.676,3.45E+02
527.5,1.83,3.47E+02
528.5,1.899,3.49E+02
529.5,1.92,3.50E+02
530.5,1.954,3.52E+02
531.5,1.965,3.54E+02
532.5,1.773,3.56E+02
533.5,1.925,3.58E+02
534.5,1.86,3.60E+02
535.5,1.992,3.62E+02
536.5,1.873,3.64E+02
537.5,1.884,3.66E+02
538.5,1.906,3.68E+02
539.5,1.834,3.69E+02
540.5,1.772,3.71E+02
541.5,1.883,3.73E+02
542.5,1.827,3.75E+02
543.5,1.881,3.77E+02
544.5,1.881,3.79E+02
545.5,1.903,3.81E+02
546.5,1.881,3.82E+02
547.5,1.835,3.84E+02
548.5,1.865,3.86E+02
549.5,1.897,3.88E+02
550.5,1.864,3.90E+02
551.5,1.873,3.92E+02
552.5,1.848,3.94E+02
553.5,1.884,3.95E+02
554.5,1.9,3.97E+02
555.5,1.899,3.99E+02
556.5,1.823,4.01E+02
557.5,1.848,4.03E+02
558.5,1.789,4.05E+02
559.5,1.81,4.07E+02
560.5,1.845,4.08E+02
561.5,1.826,4.10E+02
562.5,1.852,4.12E+02
563.5,1.863,4.14E+02
564.5,1.856,4.16E+02
565.5,1.8,4.18E+02
566.5,1.831,4.19E+02
567.5,1.889,4.21E+02
568.5,1.812,4.23E+02
569.5,1.862,4.25E+02
570.5,1.772,4.27E+02
571.5,1.825,4.29E+02
572.5,1.894,4.31E+02
573.5,1.878,4.32E+02
574.5,1.869,4.34E+02
575.5,1.832,4.36E+02
576.5,1.848,4.38E+02
577.5,1.859,4.40E+02
578.5,1.786,4.42E+02
579.5,1.83,4.43E+02
580.5,1.84,4.45E+02
581.5,1.855,4.47E+02
582.5,1.875,4.49E+02
583.5,1.859,4.51E+02
584.5,1.862,4.53E+02
585.5,1.786,4.54E+02
586.5,1.832,4.56E+02
587.5,1.85,4.58E+02
588.5,1.752,4.60E+02
589.5,1.614,4.62E+02
590.5,1.815,4.63E+02
591.5,1.789,4.65E+02
592.5,1.81,4.67E+02
593.5,1.798,4.69E+02
594.5,1.776,4.71E+02
595.5,1.785,4.72E+02
596.5,1.807,4.74E+02
597.5,1.783,4.76E+02
598.5,1.76,4.78E+02
